Equipo,Age,CrdY,CrdR,Temporada,Posesion%,AciertoPase%,Goles,Aereos,Tiros_pp,Tiros_AP_pp,Regates_pp,Faltas_a_favor_pp,Juego_abierto,Contraataque,Balon_Parado
Arsenal,28.3,48,3.0,00_01,,,,,,,,,,,
Aston Villa,28.1,64,3.0,00_01,,,,,,,,,,,
Bradford City,30.2,57,1.0,00_01,,,,,,,,,,,
Charlton Athletic,26.8,49,2.0,00_01,,,,,,,,,,,
Chelsea,28.1,72,2.0,00_01,,,,,,,,,,,
Coventry City,25.7,74,2.0,00_01,,,,,,,,,,,
Derby County,25.3,80,3.0,00_01,,,,,,,,,,,
Everton,27.0,80,4.0,00_01,,,,,,,,,,,
Ipswich,26.3,32,2.0,00_01,,,,,,,,,,,
Leeds,24.6,75,3.0,00_01,,,,,,,,,,,
Leicester,27.4,61,2.0,00_01,,,,,,,,,,,
Liverpool,25.4,55,4.0,00_01,,,,,,,,,,,
Manchester City,26.1,67,3.0,00_01,,,,,,,,,,,
Manchester Utd,26.9,44,3.0,00_01,,,,,,,,,,,
Middlesbrough,29.3,78,6.0,00_01,,,,,,,,,,,
Newcastle,26.0,48,5.0,00_01,,,,,,,,,,,
Southampton,27.1,51,1.0,00_01,,,,,,,,,,,
Sunderland,26.4,73,5.0,00_01,,,,,,,,,,,
Tottenham,26.3,49,3.0,00_01,,,,,,,,,,,
West Ham,27.6,72,2.0,00_01,,,,,,,,,,,
Arsenal,27.3,81,6.0,01_02,,,,,,,,,,,
Aston Villa,27.2,42,2.0,01_02,,,,,,,,,,,
Blackburn,27.2,58,4.0,01_02,,,,,,,,,,,
Bolton,28.6,58,6.0,01_02,,,,,,,,,,,
Charlton Athletic,26.6,61,3.0,01_02,,,,,,,,,,,
Chelsea,26.8,71,2.0,01_02,,,,,,,,,,,
Derby County,25.8,70,2.0,01_02,,,,,,,,,,,
Everton,28.0,62,4.0,01_02,,,,,,,,,,,
Fulham,27.7,51,1.0,01_02,,,,,,,,,,,
Ipswich,27.2,42,1.0,01_02,,,,,,,,,,,
Leeds,26.0,74,5.0,01_02,,,,,,,,,,,
Leicester,27.1,76,3.0,01_02,,,,,,,,,,,
Liverpool,25.5,43,2.0,01_02,,,,,,,,,,,
Manchester Utd,27.5,52,1.0,01_02,,,,,,,,,,,
Middlesbrough,28.2,54,7.0,01_02,,,,,,,,,,,
Newcastle,25.9,47,2.0,01_02,,,,,,,,,,,
Southampton,27.5,34,3.0,01_02,,,,,,,,,,,
Sunderland,26.5,67,1.0,01_02,,,,,,,,,,,
Tottenham,28.7,59,4.0,01_02,,,,,,,,,,,
West Ham,27.4,68,3.0,01_02,,,,,,,,,,,
Arsenal,27.8,56,2.0,02_03,,,,,,,,,,,
Aston Villa,26.2,66,4.0,02_03,,,,,,,,,,,
Birmingham,27.9,74,3.0,02_03,,,,,,,,,,,
Blackburn,27.7,66,4.0,02_03,,,,,,,,,,,
Bolton,29.1,71,3.0,02_03,,,,,,,,,,,
Charlton Athletic,27.0,56,1.0,02_03,,,,,,,,,,,
Chelsea,27.8,62,1.0,02_03,,,,,,,,,,,
Everton,27.4,56,5.0,02_03,,,,,,,,,,,
Fulham,27.3,58,6.0,02_03,,,,,,,,,,,
Leeds,25.8,73,1.0,02_03,,,,,,,,,,,
Liverpool,24.9,48,1.0,02_03,,,,,,,,,,,
Manchester City,27.8,58,5.0,02_03,,,,,,,,,,,
Manchester Utd,27.0,46,1.0,02_03,,,,,,,,,,,
Middlesbrough,26.4,53,4.0,02_03,,,,,,,,,,,
Newcastle,24.8,48,2.0,02_03,,,,,,,,,,,
Southampton,27.2,49,3.0,02_03,,,,,,,,,,,
Sunderland,26.0,60,0.0,02_03,,,,,,,,,,,
Tottenham,28.1,64,4.0,02_03,,,,,,,,,,,
West Bromwich Albion,27.2,49,4.0,02_03,,,,,,,,,,,
West Ham,27.3,67,4.0,02_03,,,,,,,,,,,
Arsenal,27.3,53,3.0,03_04,,,,,,,,,,,
Aston Villa,25.7,52,3.0,03_04,,,,,,,,,,,
Birmingham,27.4,46,5.0,03_04,,,,,,,,,,,
Blackburn,28.2,61,3.0,03_04,,,,,,,,,,,
Bolton,28.5,66,0.0,03_04,,,,,,,,,,,
Charlton Athletic,28.4,38,3.0,03_04,,,,,,,,,,,
Chelsea,25.9,46,3.0,03_04,,,,,,,,,,,
Everton,27.4,54,3.0,03_04,,,,,,,,,,,
Fulham,27.0,66,3.0,03_04,,,,,,,,,,,
Leeds,25.1,73,5.0,03_04,,,,,,,,,,,
Leicester,29.3,61,8.0,03_04,,,,,,,,,,,
Liverpool,26.0,46,1.0,03_04,,,,,,,,,,,
Manchester City,27.9,50,3.0,03_04,,,,,,,,,,,
Manchester Utd,25.8,46,3.0,03_04,,,,,,,,,,,
Middlesbrough,27.6,59,1.0,03_04,,,,,,,,,,,
Newcastle,25.8,48,3.0,03_04,,,,,,,,,,,
Portsmouth,28.6,63,3.0,03_04,,,,,,,,,,,
Southampton,28.1,54,3.0,03_04,,,,,,,,,,,
Tottenham,26.2,61,0.0,03_04,,,,,,,,,,,
Wolves,29.6,68,2.0,03_04,,,,,,,,,,,
Arsenal,26.2,47,1.0,04_05,,,,,,,,,,,
